REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE,REF_AREA_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,FREQ,OBS_STATUS,INDICATOR_LABEL
LIC,2014,WB_WDI_NY_GDP_MKTP_CD,3.79E+11,Low income,USD,US dollars,A,A,GDP (current US$)
LMC,2014,WB_WDI_NY_GDP_MKTP_CD,5.12E+12,Lower middle income,USD,US dollars,A,A,GDP (current US$)
SST,2021,WB_WDI_NY_GDP_MKTP_CD,2.44E+11,Small states,USD,US dollars,A,A,GDP (current US$)
SAS,2021,WB_WDI_NY_GDP_MKTP_CD,3.72E+12,South Asia,USD,US dollars,A,A,GDP (current US$)
TSA,2021,WB_WDI_NY_GDP_MKTP_CD,3.72E+12,South Asia (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
SSF,2021,WB_WDI_NY_GDP_MKTP_CD,2.14E+12,Sub-Saharan Africa,USD,US dollars,A,A,GDP (current US$)
SSA,2021,WB_WDI_NY_GDP_MKTP_CD,2.03E+12,Sub-Saharan Africa (excluding high income),USD,US dollars,A,A,GDP (current US$)
TSS,2021,WB_WDI_NY_GDP_MKTP_CD,2.14E+12,Sub-Saharan Africa (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
UMC,2021,WB_WDI_NY_GDP_MKTP_CD,2.77E+13,Upper middle income,USD,US dollars,A,A,GDP (current US$)
WLD,2021,WB_WDI_NY_GDP_MKTP_CD,9.81E+13,World,USD,US dollars,A,A,GDP (current US$)
AFG,2021,WB_WDI_NY_GDP_MKTP_CD,1.43E+10,Afghanistan,USD,US dollars,A,A,GDP (current US$)
ALB,2021,WB_WDI_NY_GDP_MKTP_CD,1.80E+10,Albania,USD,US dollars,A,A,GDP (current US$)
DZA,2021,WB_WDI_NY_GDP_MKTP_CD,1.86E+11,Algeria,USD,US dollars,A,A,GDP (current US$)
ASM,2021,WB_WDI_NY_GDP_MKTP_CD,7.50E+08,American Samoa,USD,US dollars,A,A,GDP (current US$)
AND,2021,WB_WDI_NY_GDP_MKTP_CD,3.32E+09,Andorra,USD,US dollars,A,A,GDP (current US$)
AGO,2021,WB_WDI_NY_GDP_MKTP_CD,7.96E+10,Angola,USD,US dollars,A,A,GDP (current US$)
IBT,2012,WB_WDI_NY_GDP_MKTP_CD,2.74E+13,IDA & IBRD total,USD,US dollars,A,A,GDP (current US$)
IDB,2012,WB_WDI_NY_GDP_MKTP_CD,9.83E+11,IDA blend,USD,US dollars,A,A,GDP (current US$)
IDX,2012,WB_WDI_NY_GDP_MKTP_CD,9.21E+11,IDA only,USD,US dollars,A,A,GDP (current US$)
IDA,2012,WB_WDI_NY_GDP_MKTP_CD,1.90E+12,IDA total,USD,US dollars,A,A,GDP (current US$)
LTE,2012,WB_WDI_NY_GDP_MKTP_CD,1.78E+13,Late-demographic dividend,USD,US dollars,A,A,GDP (current US$)
LCN,2012,WB_WDI_NY_GDP_MKTP_CD,6.20E+12,Latin America & Caribbean,USD,US dollars,A,A,GDP (current US$)
LAC,2012,WB_WDI_NY_GDP_MKTP_CD,5.25E+12,Latin America & Caribbean (excluding high income),USD,US dollars,A,A,GDP (current US$)
TLA,2012,WB_WDI_NY_GDP_MKTP_CD,6.00E+12,Latin America & Caribbean (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
LDC,2012,WB_WDI_NY_GDP_MKTP_CD,8.50E+11,Least developed countries: UN classification,USD,US dollars,A,A,GDP (current US$)
LMY,2012,WB_WDI_NY_GDP_MKTP_CD,2.36E+13,Low & middle income,USD,US dollars,A,A,GDP (current US$)
LIC,2012,WB_WDI_NY_GDP_MKTP_CD,3.51E+11,Low income,USD,US dollars,A,A,GDP (current US$)
LMC,2012,WB_WDI_NY_GDP_MKTP_CD,4.49E+12,Lower middle income,USD,US dollars,A,A,GDP (current US$)
MEA,2012,WB_WDI_NY_GDP_MKTP_CD,3.95E+12,"Middle East, North Africa, Afghanistan & Pakistan",USD,US dollars,A,A,GDP (current US$)
FCS,2016,WB_WDI_NY_GDP_MKTP_CD,1.36E+12,Fragile and conflict affected situations,USD,US dollars,A,A,GDP (current US$)
HPC,2016,WB_WDI_NY_GDP_MKTP_CD,6.77E+11,Heavily indebted poor countries (HIPC),USD,US dollars,A,A,GDP (current US$)
HIC,2016,WB_WDI_NY_GDP_MKTP_CD,5.09E+13,High income,USD,US dollars,A,A,GDP (current US$)
IBD,2016,WB_WDI_NY_GDP_MKTP_CD,2.61E+13,IBRD only,USD,US dollars,A,A,GDP (current US$)
IBT,2016,WB_WDI_NY_GDP_MKTP_CD,2.83E+13,IDA & IBRD total,USD,US dollars,A,A,GDP (current US$)
IDB,2016,WB_WDI_NY_GDP_MKTP_CD,1.04E+12,IDA blend,USD,US dollars,A,A,GDP (current US$)
IDX,2016,WB_WDI_NY_GDP_MKTP_CD,1.12E+12,IDA only,USD,US dollars,A,A,GDP (current US$)
IDA,2016,WB_WDI_NY_GDP_MKTP_CD,2.15E+12,IDA total,USD,US dollars,A,A,GDP (current US$)
LTE,2016,WB_WDI_NY_GDP_MKTP_CD,1.88E+13,Late-demographic dividend,USD,US dollars,A,A,GDP (current US$)
LCN,2016,WB_WDI_NY_GDP_MKTP_CD,5.15E+12,Latin America & Caribbean,USD,US dollars,A,A,GDP (current US$)
LAC,2016,WB_WDI_NY_GDP_MKTP_CD,4.44E+12,Latin America & Caribbean (excluding high income),USD,US dollars,A,A,GDP (current US$)
TLA,2016,WB_WDI_NY_GDP_MKTP_CD,4.92E+12,Latin America & Caribbean (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
TSS,1999,WB_WDI_NY_GDP_MKTP_CD,4.05E+11,Sub-Saharan Africa (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
UMC,1999,WB_WDI_NY_GDP_MKTP_CD,3.99E+12,Upper middle income,USD,US dollars,A,A,GDP (current US$)
WLD,1999,WB_WDI_NY_GDP_MKTP_CD,3.28E+13,World,USD,US dollars,A,A,GDP (current US$)
ALB,1999,WB_WDI_NY_GDP_MKTP_CD,3.28E+09,Albania,USD,US dollars,A,A,GDP (current US$)
DZA,1999,WB_WDI_NY_GDP_MKTP_CD,4.86E+10,Algeria,USD,US dollars,A,A,GDP (current US$)
AND,1999,WB_WDI_NY_GDP_MKTP_CD,1.24E+09,Andorra,USD,US dollars,A,A,GDP (current US$)
AGO,1999,WB_WDI_NY_GDP_MKTP_CD,6.15E+09,Angola,USD,US dollars,A,A,GDP (current US$)
ATG,1999,WB_WDI_NY_GDP_MKTP_CD,8.36E+08,Antigua and Barbuda,USD,US dollars,A,A,GDP (current US$)
ARG,1999,WB_WDI_NY_GDP_MKTP_CD,2.84E+11,Argentina,USD,US dollars,A,A,GDP (current US$)
ARM,1999,WB_WDI_NY_GDP_MKTP_CD,1.85E+09,Armenia,USD,US dollars,A,A,GDP (current US$)
ABW,1999,WB_WDI_NY_GDP_MKTP_CD,1.72E+09,Aruba,USD,US dollars,A,A,GDP (current US$)
AUS,1999,WB_WDI_NY_GDP_MKTP_CD,3.90E+11,Australia,USD,US dollars,A,A,GDP (current US$)
AUT,1999,WB_WDI_NY_GDP_MKTP_CD,2.16E+11,Austria,USD,US dollars,A,A,GDP (current US$)
AZE,1999,WB_WDI_NY_GDP_MKTP_CD,4.58E+09,Azerbaijan,USD,US dollars,A,A,GDP (current US$)
BHS,1999,WB_WDI_NY_GDP_MKTP_CD,7.68E+09,"Bahamas, The",USD,US dollars,A,A,GDP (current US$)
TLA,2011,WB_WDI_NY_GDP_MKTP_CD,5.94E+12,Latin America & Caribbean (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
LDC,2011,WB_WDI_NY_GDP_MKTP_CD,8.10E+11,Least developed countries: UN classification,USD,US dollars,A,A,GDP (current US$)
LMY,2011,WB_WDI_NY_GDP_MKTP_CD,2.22E+13,Low & middle income,USD,US dollars,A,A,GDP (current US$)
LIC,2011,WB_WDI_NY_GDP_MKTP_CD,3.84E+11,Low income,USD,US dollars,A,A,GDP (current US$)
LMC,2011,WB_WDI_NY_GDP_MKTP_CD,4.24E+12,Lower middle income,USD,US dollars,A,A,GDP (current US$)
MEA,2011,WB_WDI_NY_GDP_MKTP_CD,3.66E+12,"Middle East, North Africa, Afghanistan & Pakistan",USD,US dollars,A,A,GDP (current US$)
MNA,2011,WB_WDI_NY_GDP_MKTP_CD,1.91E+12,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",USD,US dollars,A,A,GDP (current US$)
TMN,2011,WB_WDI_NY_GDP_MKTP_CD,1.89E+12,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",USD,US dollars,A,A,GDP (current US$)
MIC,2011,WB_WDI_NY_GDP_MKTP_CD,2.18E+13,Middle income,USD,US dollars,A,A,GDP (current US$)
NAC,2011,WB_WDI_NY_GDP_MKTP_CD,1.74E+13,North America,USD,US dollars,A,A,GDP (current US$)
OED,2011,WB_WDI_NY_GDP_MKTP_CD,4.89E+13,OECD members,USD,US dollars,A,A,GDP (current US$)
OSS,2011,WB_WDI_NY_GDP_MKTP_CD,1.29E+11,Other small states,USD,US dollars,A,A,GDP (current US$)
PSS,2011,WB_WDI_NY_GDP_MKTP_CD,7.75E+09,Pacific island small states,USD,US dollars,A,A,GDP (current US$)
LMY,2018,WB_WDI_NY_GDP_MKTP_CD,2.99E+13,Low & middle income,USD,US dollars,A,A,GDP (current US$)
LIC,2018,WB_WDI_NY_GDP_MKTP_CD,3.42E+11,Low income,USD,US dollars,A,A,GDP (current US$)
LMC,2018,WB_WDI_NY_GDP_MKTP_CD,6.02E+12,Lower middle income,USD,US dollars,A,A,GDP (current US$)
MEA,2018,WB_WDI_NY_GDP_MKTP_CD,4.05E+12,"Middle East, North Africa, Afghanistan & Pakistan",USD,US dollars,A,A,GDP (current US$)
MNA,2018,WB_WDI_NY_GDP_MKTP_CD,1.88E+12,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",USD,US dollars,A,A,GDP (current US$)
TMN,2018,WB_WDI_NY_GDP_MKTP_CD,1.86E+12,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",USD,US dollars,A,A,GDP (current US$)
MIC,2018,WB_WDI_NY_GDP_MKTP_CD,2.96E+13,Middle income,USD,US dollars,A,A,GDP (current US$)
NAC,2018,WB_WDI_NY_GDP_MKTP_CD,2.23E+13,North America,USD,US dollars,A,A,GDP (current US$)
OED,2018,WB_WDI_NY_GDP_MKTP_CD,5.37E+13,OECD members,USD,US dollars,A,A,GDP (current US$)
OSS,2018,WB_WDI_NY_GDP_MKTP_CD,1.58E+11,Other small states,USD,US dollars,A,A,GDP (current US$)
PSS,2018,WB_WDI_NY_GDP_MKTP_CD,1.08E+10,Pacific island small states,USD,US dollars,A,A,GDP (current US$)
PST,2018,WB_WDI_NY_GDP_MKTP_CD,5.06E+13,Post-demographic dividend,USD,US dollars,A,A,GDP (current US$)
PRE,2018,WB_WDI_NY_GDP_MKTP_CD,1.37E+12,Pre-demographic dividend,USD,US dollars,A,A,GDP (current US$)
EUU,2005,WB_WDI_NY_GDP_MKTP_CD,1.20E+13,European Union,USD,US dollars,A,A,GDP (current US$)
FCS,2005,WB_WDI_NY_GDP_MKTP_CD,7.56E+11,Fragile and conflict affected situations,USD,US dollars,A,A,GDP (current US$)
HPC,2005,WB_WDI_NY_GDP_MKTP_CD,2.89E+11,Heavily indebted poor countries (HIPC),USD,US dollars,A,A,GDP (current US$)
HIC,2005,WB_WDI_NY_GDP_MKTP_CD,3.87E+13,High income,USD,US dollars,A,A,GDP (current US$)
IBD,2005,WB_WDI_NY_GDP_MKTP_CD,9.69E+12,IBRD only,USD,US dollars,A,A,GDP (current US$)
IBT,2005,WB_WDI_NY_GDP_MKTP_CD,1.05E+13,IDA & IBRD total,USD,US dollars,A,A,GDP (current US$)
IDB,2005,WB_WDI_NY_GDP_MKTP_CD,4.28E+11,IDA blend,USD,US dollars,A,A,GDP (current US$)
IDX,2005,WB_WDI_NY_GDP_MKTP_CD,4.21E+11,IDA only,USD,US dollars,A,A,GDP (current US$)
IDA,2005,WB_WDI_NY_GDP_MKTP_CD,8.50E+11,IDA total,USD,US dollars,A,A,GDP (current US$)
LTE,2005,WB_WDI_NY_GDP_MKTP_CD,6.21E+12,Late-demographic dividend,USD,US dollars,A,A,GDP (current US$)
LCN,2005,WB_WDI_NY_GDP_MKTP_CD,2.90E+12,Latin America & Caribbean,USD,US dollars,A,A,GDP (current US$)
LAC,2005,WB_WDI_NY_GDP_MKTP_CD,2.45E+12,Latin America & Caribbean (excluding high income),USD,US dollars,A,A,GDP (current US$)
TLA,2005,WB_WDI_NY_GDP_MKTP_CD,2.75E+12,Latin America & Caribbean (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
CEB,2014,WB_WDI_NY_GDP_MKTP_CD,1.47E+12,Central Europe and the Baltics,USD,US dollars,A,A,GDP (current US$)
EAR,2014,WB_WDI_NY_GDP_MKTP_CD,1.05E+13,Early-demographic dividend,USD,US dollars,A,A,GDP (current US$)
EAS,2014,WB_WDI_NY_GDP_MKTP_CD,2.24E+13,East Asia & Pacific,USD,US dollars,A,A,GDP (current US$)
EAP,2014,WB_WDI_NY_GDP_MKTP_CD,1.30E+13,East Asia & Pacific (excluding high income),USD,US dollars,A,A,GDP (current US$)
TEA,2014,WB_WDI_NY_GDP_MKTP_CD,1.30E+13,East Asia & Pacific (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
EMU,2014,WB_WDI_NY_GDP_MKTP_CD,1.37E+13,Euro area,USD,US dollars,A,A,GDP (current US$)
ECS,2014,WB_WDI_NY_GDP_MKTP_CD,2.39E+13,Europe & Central Asia,USD,US dollars,A,A,GDP (current US$)
ECA,2014,WB_WDI_NY_GDP_MKTP_CD,1.74E+12,Europe & Central Asia (excluding high income),USD,US dollars,A,A,GDP (current US$)
TEC,2014,WB_WDI_NY_GDP_MKTP_CD,4.65E+12,Europe & Central Asia (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
EUU,2014,WB_WDI_NY_GDP_MKTP_CD,1.58E+13,European Union,USD,US dollars,A,A,GDP (current US$)
FCS,2014,WB_WDI_NY_GDP_MKTP_CD,1.79E+12,Fragile and conflict affected situations,USD,US dollars,A,A,GDP (current US$)
HPC,2014,WB_WDI_NY_GDP_MKTP_CD,7.05E+11,Heavily indebted poor countries (HIPC),USD,US dollars,A,A,GDP (current US$)
HIC,2014,WB_WDI_NY_GDP_MKTP_CD,5.36E+13,High income,USD,US dollars,A,A,GDP (current US$)
ECA,2006,WB_WDI_NY_GDP_MKTP_CD,9.30E+11,Europe & Central Asia (excluding high income),USD,US dollars,A,A,GDP (current US$)
TEC,2006,WB_WDI_NY_GDP_MKTP_CD,2.47E+12,Europe & Central Asia (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
EUU,2006,WB_WDI_NY_GDP_MKTP_CD,1.28E+13,European Union,USD,US dollars,A,A,GDP (current US$)
FCS,2006,WB_WDI_NY_GDP_MKTP_CD,9.47E+11,Fragile and conflict affected situations,USD,US dollars,A,A,GDP (current US$)
HPC,2006,WB_WDI_NY_GDP_MKTP_CD,3.39E+11,Heavily indebted poor countries (HIPC),USD,US dollars,A,A,GDP (current US$)
HIC,2006,WB_WDI_NY_GDP_MKTP_CD,4.11E+13,High income,USD,US dollars,A,A,GDP (current US$)
IBD,2006,WB_WDI_NY_GDP_MKTP_CD,1.15E+13,IBRD only,USD,US dollars,A,A,GDP (current US$)
IBT,2006,WB_WDI_NY_GDP_MKTP_CD,1.25E+13,IDA & IBRD total,USD,US dollars,A,A,GDP (current US$)
IDB,2006,WB_WDI_NY_GDP_MKTP_CD,5.27E+11,IDA blend,USD,US dollars,A,A,GDP (current US$)
IDX,2006,WB_WDI_NY_GDP_MKTP_CD,4.88E+11,IDA only,USD,US dollars,A,A,GDP (current US$)
IDA,2006,WB_WDI_NY_GDP_MKTP_CD,1.02E+12,IDA total,USD,US dollars,A,A,GDP (current US$)
LTE,2006,WB_WDI_NY_GDP_MKTP_CD,7.50E+12,Late-demographic dividend,USD,US dollars,A,A,GDP (current US$)
LCN,2006,WB_WDI_NY_GDP_MKTP_CD,3.40E+12,Latin America & Caribbean,USD,US dollars,A,A,GDP (current US$)
LAC,2006,WB_WDI_NY_GDP_MKTP_CD,2.86E+12,Latin America & Caribbean (excluding high income),USD,US dollars,A,A,GDP (current US$)
AFW,2018,WB_WDI_NY_GDP_MKTP_CD,7.78E+11,Western & Central Africa,USD,US dollars,A,A,GDP (current US$)
ARB,2018,WB_WDI_NY_GDP_MKTP_CD,2.92E+12,Arab World,USD,US dollars,A,A,GDP (current US$)
CSS,2018,WB_WDI_NY_GDP_MKTP_CD,6.13E+10,Caribbean small states,USD,US dollars,A,A,GDP (current US$)
CEB,2018,WB_WDI_NY_GDP_MKTP_CD,1.66E+12,Central Europe and the Baltics,USD,US dollars,A,A,GDP (current US$)
EAR,2018,WB_WDI_NY_GDP_MKTP_CD,1.15E+13,Early-demographic dividend,USD,US dollars,A,A,GDP (current US$)
EAS,2018,WB_WDI_NY_GDP_MKTP_CD,2.69E+13,East Asia & Pacific,USD,US dollars,A,A,GDP (current US$)
EAP,2018,WB_WDI_NY_GDP_MKTP_CD,1.69E+13,East Asia & Pacific (excluding high income),USD,US dollars,A,A,GDP (current US$)
TEA,2018,WB_WDI_NY_GDP_MKTP_CD,1.69E+13,East Asia & Pacific (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
EMU,2018,WB_WDI_NY_GDP_MKTP_CD,1.39E+13,Euro area,USD,US dollars,A,A,GDP (current US$)
ECS,2018,WB_WDI_NY_GDP_MKTP_CD,2.33E+13,Europe & Central Asia,USD,US dollars,A,A,GDP (current US$)
ECA,2018,WB_WDI_NY_GDP_MKTP_CD,1.48E+12,Europe & Central Asia (excluding high income),USD,US dollars,A,A,GDP (current US$)
TEC,2018,WB_WDI_NY_GDP_MKTP_CD,4.10E+12,Europe & Central Asia (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
EUU,2018,WB_WDI_NY_GDP_MKTP_CD,1.61E+13,European Union,USD,US dollars,A,A,GDP (current US$)
PRE,2006,WB_WDI_NY_GDP_MKTP_CD,6.69E+11,Pre-demographic dividend,USD,US dollars,A,A,GDP (current US$)
SST,2006,WB_WDI_NY_GDP_MKTP_CD,1.46E+11,Small states,USD,US dollars,A,A,GDP (current US$)
SAS,2006,WB_WDI_NY_GDP_MKTP_CD,1.05E+12,South Asia,USD,US dollars,A,A,GDP (current US$)
TSA,2006,WB_WDI_NY_GDP_MKTP_CD,1.05E+12,South Asia (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
SSF,2006,WB_WDI_NY_GDP_MKTP_CD,9.89E+11,Sub-Saharan Africa,USD,US dollars,A,A,GDP (current US$)
SSA,2006,WB_WDI_NY_GDP_MKTP_CD,9.73E+11,Sub-Saharan Africa (excluding high income),USD,US dollars,A,A,GDP (current US$)
TSS,2006,WB_WDI_NY_GDP_MKTP_CD,9.89E+11,Sub-Saharan Africa (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
UMC,2006,WB_WDI_NY_GDP_MKTP_CD,8.13E+12,Upper middle income,USD,US dollars,A,A,GDP (current US$)
WLD,2006,WB_WDI_NY_GDP_MKTP_CD,5.19E+13,World,USD,US dollars,A,A,GDP (current US$)
AFG,2006,WB_WDI_NY_GDP_MKTP_CD,6.97E+09,Afghanistan,USD,US dollars,A,A,GDP (current US$)
ALB,2006,WB_WDI_NY_GDP_MKTP_CD,9.15E+09,Albania,USD,US dollars,A,A,GDP (current US$)
DZA,2006,WB_WDI_NY_GDP_MKTP_CD,1.23E+11,Algeria,USD,US dollars,A,A,GDP (current US$)
ASM,2006,WB_WDI_NY_GDP_MKTP_CD,4.93E+08,American Samoa,USD,US dollars,A,A,GDP (current US$)
AND,2006,WB_WDI_NY_GDP_MKTP_CD,3.46E+09,Andorra,USD,US dollars,A,A,GDP (current US$)
LDC,2016,WB_WDI_NY_GDP_MKTP_CD,9.53E+11,Least developed countries: UN classification,USD,US dollars,A,A,GDP (current US$)
LMY,2016,WB_WDI_NY_GDP_MKTP_CD,2.57E+13,Low & middle income,USD,US dollars,A,A,GDP (current US$)
LIC,2016,WB_WDI_NY_GDP_MKTP_CD,3.18E+11,Low income,USD,US dollars,A,A,GDP (current US$)
LMC,2016,WB_WDI_NY_GDP_MKTP_CD,5.32E+12,Lower middle income,USD,US dollars,A,A,GDP (current US$)
MEA,2016,WB_WDI_NY_GDP_MKTP_CD,3.62E+12,"Middle East, North Africa, Afghanistan & Pakistan",USD,US dollars,A,A,GDP (current US$)
MNA,2016,WB_WDI_NY_GDP_MKTP_CD,1.85E+12,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",USD,US dollars,A,A,GDP (current US$)
TMN,2016,WB_WDI_NY_GDP_MKTP_CD,1.83E+12,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",USD,US dollars,A,A,GDP (current US$)
MIC,2016,WB_WDI_NY_GDP_MKTP_CD,2.54E+13,Middle income,USD,US dollars,A,A,GDP (current US$)
NAC,2016,WB_WDI_NY_GDP_MKTP_CD,2.02E+13,North America,USD,US dollars,A,A,GDP (current US$)
OED,2016,WB_WDI_NY_GDP_MKTP_CD,4.86E+13,OECD members,USD,US dollars,A,A,GDP (current US$)
OSS,2016,WB_WDI_NY_GDP_MKTP_CD,1.28E+11,Other small states,USD,US dollars,A,A,GDP (current US$)
PSS,2016,WB_WDI_NY_GDP_MKTP_CD,9.56E+09,Pacific island small states,USD,US dollars,A,A,GDP (current US$)
PST,2016,WB_WDI_NY_GDP_MKTP_CD,4.58E+13,Post-demographic dividend,USD,US dollars,A,A,GDP (current US$)
EAP,2007,WB_WDI_NY_GDP_MKTP_CD,4.79E+12,East Asia & Pacific (excluding high income),USD,US dollars,A,A,GDP (current US$)
TEA,2007,WB_WDI_NY_GDP_MKTP_CD,4.78E+12,East Asia & Pacific (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
EMU,2007,WB_WDI_NY_GDP_MKTP_CD,1.30E+13,Euro area,USD,US dollars,A,A,GDP (current US$)
ECS,2007,WB_WDI_NY_GDP_MKTP_CD,2.13E+13,Europe & Central Asia,USD,US dollars,A,A,GDP (current US$)
ECA,2007,WB_WDI_NY_GDP_MKTP_CD,1.17E+12,Europe & Central Asia (excluding high income),USD,US dollars,A,A,GDP (current US$)
TEC,2007,WB_WDI_NY_GDP_MKTP_CD,3.18E+12,Europe & Central Asia (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
EUU,2007,WB_WDI_NY_GDP_MKTP_CD,1.48E+13,European Union,USD,US dollars,A,A,GDP (current US$)
FCS,2007,WB_WDI_NY_GDP_MKTP_CD,1.16E+12,Fragile and conflict affected situations,USD,US dollars,A,A,GDP (current US$)
HPC,2007,WB_WDI_NY_GDP_MKTP_CD,4.04E+11,Heavily indebted poor countries (HIPC),USD,US dollars,A,A,GDP (current US$)
HIC,2007,WB_WDI_NY_GDP_MKTP_CD,4.53E+13,High income,USD,US dollars,A,A,GDP (current US$)
IBD,2007,WB_WDI_NY_GDP_MKTP_CD,1.43E+13,IBRD only,USD,US dollars,A,A,GDP (current US$)
IBT,2007,WB_WDI_NY_GDP_MKTP_CD,1.55E+13,IDA & IBRD total,USD,US dollars,A,A,GDP (current US$)
IDB,2007,WB_WDI_NY_GDP_MKTP_CD,6.10E+11,IDA blend,USD,US dollars,A,A,GDP (current US$)
IDX,2007,WB_WDI_NY_GDP_MKTP_CD,5.81E+11,IDA only,USD,US dollars,A,A,GDP (current US$)
IDA,2010,WB_WDI_NY_GDP_MKTP_CD,1.60E+12,IDA total,USD,US dollars,A,A,GDP (current US$)
LTE,2010,WB_WDI_NY_GDP_MKTP_CD,1.37E+13,Late-demographic dividend,USD,US dollars,A,A,GDP (current US$)
LCN,2010,WB_WDI_NY_GDP_MKTP_CD,5.40E+12,Latin America & Caribbean,USD,US dollars,A,A,GDP (current US$)
LAC,2010,WB_WDI_NY_GDP_MKTP_CD,4.52E+12,Latin America & Caribbean (excluding high income),USD,US dollars,A,A,GDP (current US$)
TLA,2010,WB_WDI_NY_GDP_MKTP_CD,5.21E+12,Latin America & Caribbean (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
LDC,2010,WB_WDI_NY_GDP_MKTP_CD,7.11E+11,Least developed countries: UN classification,USD,US dollars,A,A,GDP (current US$)
LMY,2010,WB_WDI_NY_GDP_MKTP_CD,1.88E+13,Low & middle income,USD,US dollars,A,A,GDP (current US$)
LIC,2010,WB_WDI_NY_GDP_MKTP_CD,3.55E+11,Low income,USD,US dollars,A,A,GDP (current US$)
LMC,2010,WB_WDI_NY_GDP_MKTP_CD,3.80E+12,Lower middle income,USD,US dollars,A,A,GDP (current US$)
MEA,2010,WB_WDI_NY_GDP_MKTP_CD,3.04E+12,"Middle East, North Africa, Afghanistan & Pakistan",USD,US dollars,A,A,GDP (current US$)
MNA,2010,WB_WDI_NY_GDP_MKTP_CD,1.63E+12,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",USD,US dollars,A,A,GDP (current US$)
TMN,2010,WB_WDI_NY_GDP_MKTP_CD,1.62E+12,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",USD,US dollars,A,A,GDP (current US$)
MIC,2010,WB_WDI_NY_GDP_MKTP_CD,1.85E+13,Middle income,USD,US dollars,A,A,GDP (current US$)
ECS,2002,WB_WDI_NY_GDP_MKTP_CD,1.12E+13,Europe & Central Asia,USD,US dollars,A,A,GDP (current US$)
ECA,2002,WB_WDI_NY_GDP_MKTP_CD,3.91E+11,Europe & Central Asia (excluding high income),USD,US dollars,A,A,GDP (current US$)
TEC,2002,WB_WDI_NY_GDP_MKTP_CD,1.02E+12,Europe & Central Asia (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
EUU,2002,WB_WDI_NY_GDP_MKTP_CD,8.10E+12,European Union,USD,US dollars,A,A,GDP (current US$)
FCS,2002,WB_WDI_NY_GDP_MKTP_CD,4.46E+11,Fragile and conflict affected situations,USD,US dollars,A,A,GDP (current US$)
HPC,2002,WB_WDI_NY_GDP_MKTP_CD,1.91E+11,Heavily indebted poor countries (HIPC),USD,US dollars,A,A,GDP (current US$)
HIC,2002,WB_WDI_NY_GDP_MKTP_CD,2.91E+13,High income,USD,US dollars,A,A,GDP (current US$)
IBD,2002,WB_WDI_NY_GDP_MKTP_CD,6.07E+12,IBRD only,USD,US dollars,A,A,GDP (current US$)
IBT,2002,WB_WDI_NY_GDP_MKTP_CD,6.62E+12,IDA & IBRD total,USD,US dollars,A,A,GDP (current US$)
IDB,2002,WB_WDI_NY_GDP_MKTP_CD,2.68E+11,IDA blend,USD,US dollars,A,A,GDP (current US$)
IDX,2002,WB_WDI_NY_GDP_MKTP_CD,2.86E+11,IDA only,USD,US dollars,A,A,GDP (current US$)
IDA,2002,WB_WDI_NY_GDP_MKTP_CD,5.54E+11,IDA total,USD,US dollars,A,A,GDP (current US$)
LTE,2002,WB_WDI_NY_GDP_MKTP_CD,3.76E+12,Late-demographic dividend,USD,US dollars,A,A,GDP (current US$)
LCN,2002,WB_WDI_NY_GDP_MKTP_CD,2.05E+12,Latin America & Caribbean,USD,US dollars,A,A,GDP (current US$)
IBD,2019,WB_WDI_NY_GDP_MKTP_CD,3.14E+13,IBRD only,USD,US dollars,A,A,GDP (current US$)
IBT,2019,WB_WDI_NY_GDP_MKTP_CD,3.41E+13,IDA & IBRD total,USD,US dollars,A,A,GDP (current US$)
IDB,2019,WB_WDI_NY_GDP_MKTP_CD,1.35E+12,IDA blend,USD,US dollars,A,A,GDP (current US$)
