REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE,REF_AREA_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,FREQ,OBS_STATUS,INDICATOR_LABEL
TEA,2013,WB_WDI_NY_GDP_MKTP_CD,1.20E+13,East Asia & Pacific (IDA & IBRD),USD,US dollars,A,A,GDP (current US$)
EMU,2013,WB_WDI_NY_GDP_MKTP_CD,1.34E+13,Euro area,USD,US dollars,A,A,GDP (current US$)
ECS,2013,WB_WDI_NY_GDP_MKTP_CD,2.36E+13,Europe & Central Asia,USD,US dollars,A,A,GDP (current US$)
UZB,2018,WB_WDI_NY_GDP_MKTP_CD,5.87E+10,Uzbekistan,USD,US dollars,A,A,GDP (current US$)
VUT,2018,WB_WDI_NY_GDP_MKTP_CD,9.15E+08,Vanuatu,USD,US dollars,A,A,GDP (current US$)
VEN,2018,WB_WDI_NY_GDP_MKTP_CD,1.02E+11,"Venezuela, RB",USD,US dollars,A,A,GDP (current US$)
VNM,2018,WB_WDI_NY_GDP_MKTP_CD,3.10E+11,Vietnam,USD,US dollars,A,A,GDP (current US$)
VIR,2018,WB_WDI_NY_GDP_MKTP_CD,3.92E+09,Virgin Islands (U.S.),USD,US dollars,A,A,GDP (current US$)
PSE,2018,WB_WDI_NY_GDP_MKTP_CD,1.63E+10,West Bank and Gaza,USD,US dollars,A,A,GDP (current US$)
YEM,2018,WB_WDI_NY_GDP_MKTP_CD,2.16E+10,"Yemen, Rep.",USD,US dollars,A,A,GDP (current US$)
ZMB,2018,WB_WDI_NY_GDP_MKTP_CD,2.63E+10,Zambia,USD,US dollars,A,A,GDP (current US$)
ZWE,2018,WB_WDI_NY_GDP_MKTP_CD,3.41E+10,Zimbabwe,USD,US dollars,A,A,GDP (current US$)
AFE,2019,WB_WDI_NY_GDP_MKTP_CD,1.02E+12,Eastern & Southern Africa,USD,US dollars,A,A,GDP (current US$)
AFW,2019,WB_WDI_NY_GDP_MKTP_CD,1.03E+12,Western & Central Africa,USD,US dollars,A,A,GDP (current US$)
ARB,2019,WB_WDI_NY_GDP_MKTP_CD,2.97E+12,Arab World,USD,US dollars,A,A,GDP (current US$)
WLD,2010,WB_WDI_NY_GDP_MKTP_CD,6.68E+13,World,USD,US dollars,A,A,GDP (current US$)
AFG,2010,WB_WDI_NY_GDP_MKTP_CD,1.59E+10,Afghanistan,USD,US dollars,A,A,GDP (current US$)
ALB,2010,WB_WDI_NY_GDP_MKTP_CD,1.21E+10,Albania,USD,US dollars,A,A,GDP (current US$)
DZA,2010,WB_WDI_NY_GDP_MKTP_CD,1.78E+11,Algeria,USD,US dollars,A,A,GDP (current US$)
ASM,2010,WB_WDI_NY_GDP_MKTP_CD,5.73E+08,American Samoa,USD,US dollars,A,A,GDP (current US$)
AND,2010,WB_WDI_NY_GDP_MKTP_CD,3.45E+09,Andorra,USD,US dollars,A,A,GDP (current US$)
AGO,2010,WB_WDI_NY_GDP_MKTP_CD,9.55E+10,Angola,USD,US dollars,A,A,GDP (current US$)
ATG,2010,WB_WDI_NY_GDP_MKTP_CD,1.30E+09,Antigua and Barbuda,USD,US dollars,A,A,GDP (current US$)
ARG,2010,WB_WDI_NY_GDP_MKTP_CD,4.24E+11,Argentina,USD,US dollars,A,A,GDP (current US$)
ARM,2010,WB_WDI_NY_GDP_MKTP_CD,9.26E+09,Armenia,USD,US dollars,A,A,GDP (current US$)
ABW,2010,WB_WDI_NY_GDP_MKTP_CD,2.45E+09,Aruba,USD,US dollars,A,A,GDP (current US$)
AUS,2010,WB_WDI_NY_GDP_MKTP_CD,1.15E+12,Australia,USD,US dollars,A,A,GDP (current US$)
JOR,2012,WB_WDI_NY_GDP_MKTP_CD,3.16E+10,Jordan,USD,US dollars,A,A,GDP (current US$)
KAZ,2012,WB_WDI_NY_GDP_MKTP_CD,2.08E+11,Kazakhstan,USD,US dollars,A,A,GDP (current US$)
KEN,2012,WB_WDI_NY_GDP_MKTP_CD,5.64E+10,Kenya,USD,US dollars,A,A,GDP (current US$)
KIR,2012,WB_WDI_NY_GDP_MKTP_CD,2.07E+08,Kiribati,USD,US dollars,A,A,GDP (current US$)
KOR,2012,WB_WDI_NY_GDP_MKTP_CD,1.34E+12,"Korea, Rep.",USD,US dollars,A,A,GDP (current US$)
