typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,566,NGA,Nigeria,0,W00,World,H5,HS,1,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,853211.579,0,8,kg,853211.579,0.0,853211.579,0,0.0,0.0,,1519497.0,1519497.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,642,ROU,Romania,0,W00,World,H5,HS,1,3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,163934.281,0,8,kg,163934.281,0.0,163934.281,0,0.0,0.0,,6301667.0,6301667.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,642,ROU,Romania,0,W00,World,H5,HS,1,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2234.0,0,8,kg,2234.0,0.0,2234.0,0,0.0,0.0,,6014.0,6014.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,642,ROU,Romania,0,W00,World,H5,HS,1,8473,"Machinery; parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,699.2,0,8,kg,699.2,0.0,699.2,0,0.0,0.0,,134747.0,134747.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,642,ROU,Romania,0,W00,World,H5,HS,1,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2266219.732,0,8,kg,2266219.732,0.0,2266219.732,0,0.0,0.0,,17333577.0,17333577.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,512,OMN,Oman,0,W00,World,H5,HS,1,8473,"Machinery; parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43.1,0,8,kg,43.1,0.0,43.1,0,0.0,0.0,,6842.0,6842.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,512,OMN,Oman,0,W00,World,H5,HS,1,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,505697.877,0,8,kg,505697.877,0.0,505697.877,0,0.0,0.0,,3664470.0,3664470.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,512,OMN,Oman,0,W00,World,H5,HS,1,3304,"Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36813.475,0,8,kg,36813.475,0.0,36813.475,0,0.0,0.0,,866507.0,866507.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,512,OMN,Oman,0,W00,World,H5,HS,1,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1714710.45,0,8,kg,1714710.45,0.0,1714710.45,0,0.0,0.0,,2499782.0,2499782.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,398,KAZ,Kazakhstan,0,W00,World,H5,HS,1,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9248575.0,0,8,kg,9248575.0,0.0,9248575.0,0,0.0,0.0,,19025482.0,19025482.0,0,False,1.0
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,398,KAZ,Kazakhstan,0,W00,World,H5,HS,1,8473,"Machinery; parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,958.515,0,8,kg,958.515,0.0,958.515,0,0.0,0.0,,94849.0,94849.0,0,False,1.0
