REF_AREA,REF_AREA_LABEL,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE
CHN,China,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,7.461900282,PC_A
COL,Colombia,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,4.499030001,PC_A
COM,Comoros,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,2.106669206,PC_A
COD,"Congo, Dem. Rep.",WB_WDI_NY_GDP_MKTP_KD_ZG,2014,7.302277509,PC_A
COG,"Congo, Rep.",WB_WDI_NY_GDP_MKTP_KD_ZG,2014,6.646065409,PC_A
CRI,Costa Rica,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,3.542109878,PC_A
CIV,Côte d?�Ivoire,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,9.371999942,PC_A
HRV,Croatia,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,-0.557692914,PC_A
CUB,Cuba,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,1.047576632,PC_A
CUW,Curaçao,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,-0.637398345,PC_A
SUR,Suriname,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,0.255503032,PC_A
SWE,Sweden,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,2.295772388,PC_A
CHE,Switzerland,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,2.349881415,PC_A
SYR,Syrian Arab Republic,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,-10.31033991,PC_A
TJK,Tajikistan,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,6.70000069,PC_A
TZA,Tanzania,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,6.732461868,PC_A
THA,Thailand,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,0.984468864,PC_A
TLS,Timor-Leste,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,4.472499229,PC_A
TGO,Togo,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,5.633237391,PC_A
TON,Tonga,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,1.990536255,PC_A
TTO,Trinidad and Tobago,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,3.67086851,PC_A
JAM,Jamaica,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,0.68982236,PC_A
JPN,Japan,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,0.296205514,PC_A
JOR,Jordan,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,3.384078099,PC_A
KAZ,Kazakhstan,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,4.200000006,PC_A
KEN,Kenya,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,5.020111002,PC_A
KIR,Kiribati,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,1.26366268,PC_A
KOR,"Korea, Rep.",WB_WDI_NY_GDP_MKTP_KD_ZG,2014,3.214680197,PC_A
XKX,Kosovo,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,3.348804784,PC_A
KWT,Kuwait,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,0.500914669,PC_A
KGZ,Kyrgyz Republic,WB_WDI_NY_GDP_MKTP_KD_ZG,2014,4.024038631,PC_A
GUY,Guyana,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,3.807456264,PC_A
HTI,Haiti,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,1.812468078,PC_A
HND,Honduras,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,3.892972197,PC_A
HKG,"Hong Kong SAR, China",WB_WDI_NY_GDP_MKTP_KD_ZG,2016,2.175428865,PC_A
HUN,Hungary,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,2.438641413,PC_A
ISL,Iceland,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,6.218087642,PC_A
IND,India,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,8.256305502,PC_A
IDN,Indonesia,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,5.033069183,PC_A
IRN,"Iran, Islamic Rep.",WB_WDI_NY_GDP_MKTP_KD_ZG,2016,8.815086643,PC_A
IRQ,Iraq,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,13.78737302,PC_A
IRL,Ireland,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,1.222716611,PC_A
KHM,Cambodia,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,5.076918432,PC_A
CMR,Cameroon,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,2.899024721,PC_A
CAN,Canada,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,3.090806345,PC_A
CYM,Cayman Islands,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,-2.715636823,PC_A
CAF,Central African Republic,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,4.630818432,PC_A
TCD,Chad,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,13.67382727,PC_A
CHI,Channel Islands,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,-3.606632316,PC_A
CHL,Chile,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,5.851651022,PC_A
CHN,China,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,10.59627198,PC_A
COL,Colombia,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,4.494658971,PC_A
COM,Comoros,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,3.777880707,PC_A
VEN,"Venezuela, RB",WB_WDI_NY_GDP_MKTP_KD_ZG,2008,5.277854124,PC_A
VNM,Vietnam,WB_WDI_NY_GDP_MKTP_KD_ZG,2008,5.661771209,PC_A
VIR,Virgin Islands (U.S.),WB_WDI_NY_GDP_MKTP_KD_ZG,2008,1.218624955,PC_A
PSE,West Bank and Gaza,WB_WDI_NY_GDP_MKTP_KD_ZG,2008,7.429182255,PC_A
YEM,"Yemen, Rep.",WB_WDI_NY_GDP_MKTP_KD_ZG,2008,3.64756947,PC_A
ZMB,Zambia,WB_WDI_NY_GDP_MKTP_KD_ZG,2008,7.773895815,PC_A
ZWE,Zimbabwe,WB_WDI_NY_GDP_MKTP_KD_ZG,2008,-17.6689988,PC_A
AFE,Eastern & Southern Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,0.919472851,PC_A
AFW,Western & Central Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,6.14119136,PC_A
ARB,Arab World,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,0.648247153,PC_A
CSS,Caribbean small states,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,-3.392319578,PC_A
CEB,Central Europe and the Baltics,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,-3.622267345,PC_A
EAR,Early-demographic dividend,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,0.646995042,PC_A
WLD,World,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,-1.318649119,PC_A
AFG,Afghanistan,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,21.39052839,PC_A
ALB,Albania,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,2.690751524,PC_A
DZA,Algeria,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,1.2,PC_A
ASM,American Samoa,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,-4.166666667,PC_A
AND,Andorra,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,-5.302846543,PC_A
AGO,Angola,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,1.995589098,PC_A
ATG,Antigua and Barbuda,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,-11.96287947,PC_A
ARG,Argentina,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,-5.918525076,PC_A
ARM,Armenia,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,-14.1,PC_A
ABW,Aruba,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,-11.67774137,PC_A
AUS,Australia,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,1.954848263,PC_A
UZB,Uzbekistan,WB_WDI_NY_GDP_MKTP_KD_ZG,1999,4.300000002,PC_A
VUT,Vanuatu,WB_WDI_NY_GDP_MKTP_KD_ZG,1999,0.337293222,PC_A
VEN,"Venezuela, RB",WB_WDI_NY_GDP_MKTP_KD_ZG,1999,-5.970458146,PC_A
VNM,Vietnam,WB_WDI_NY_GDP_MKTP_KD_ZG,1999,4.773586883,PC_A
PSE,West Bank and Gaza,WB_WDI_NY_GDP_MKTP_KD_ZG,1999,8.280591451,PC_A
YEM,"Yemen, Rep.",WB_WDI_NY_GDP_MKTP_KD_ZG,1999,3.775530496,PC_A
ZMB,Zambia,WB_WDI_NY_GDP_MKTP_KD_ZG,1999,4.650189746,PC_A
ZWE,Zimbabwe,WB_WDI_NY_GDP_MKTP_KD_ZG,1999,-0.817895267,PC_A
AFE,Eastern & Southern Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2000,3.18137506,PC_A
AFW,Western & Central Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2000,3.81216115,PC_A
ARB,Arab World,WB_WDI_NY_GDP_MKTP_KD_ZG,2000,6.336729224,PC_A
